pixel_no	pixel_x	pixel_y	latitude	longitude	reflec_1_NOICOL_mean	reflec_1_NOICOL_sigma	band	Product	ICOL_ID	Percentage_difference	Distance_Km
1	89	220	58.74611	17.336355	-0.0002605218	0.000018714894	reflec_1	FUB_L1N_NOL1N_20080728	0	-0.02	0.066
2	90	221	58.742977	17.339436	-0.0003032584	0.00005644754	reflec_1	FUB_L1N_NOL1N_20080728	0	-0.75	0.388
3	91	222	58.739845	17.342514	-0.000054880802	0.00043650958	reflec_1	FUB_L1N_NOL1N_20080728	0	-193.43	0.776
4	91	223	58.737293	17.341244	0.00016291533	0.00050519314	reflec_1	FUB_L1N_NOL1N_20080728	0	20.04	1.026
5	92	224	58.734158	17.344322	0.00047575808	0.0004932671	reflec_1	FUB_L1N_NOL1N_20080728	0	-3.33	1.408
6	93	225	58.731026	17.347399	0.0007298994	0.00028634898	reflec_1	FUB_L1N_NOL1N_20080728	0	-4.58	1.794
7	94	226	58.727894	17.35048	0.0006031192	0.00019671684	reflec_1	FUB_L1N_NOL1N_20080728	0	8.16	2.181
8	95	227	58.724762	17.353552	0.00053404435	0.000086088454	reflec_1	FUB_L1N_NOL1N_20080728	0	19.95	2.570
9	96	228	58.72163	17.35663	0.000570833	0.0000822845	reflec_1	FUB_L1N_NOL1N_20080728	0	27.99	2.959
10	96	229	58.719078	17.355356	0.0006047662	0.00011173465	reflec_1	FUB_L1N_NOL1N_20080728	0	30.96	3.199
11	97	230	58.71594	17.358423	0.00081032305	0.0002666151	reflec_1	FUB_L1N_NOL1N_20080728	0	25.53	3.587
12	98	231	58.712795	17.361488	0.0009024453	0.00020508473	reflec_1	FUB_L1N_NOL1N_20080728	0	23.56	3.976
13	99	232	58.709656	17.364552	0.00089889724	0.00017178626	reflec_1	FUB_L1N_NOL1N_20080728	0	17.66	4.365
14	100	233	58.706516	17.367617	0.0009884296	0.00024326655	reflec_1	FUB_L1N_NOL1N_20080728	0	18.34	4.755
15	100	234	58.703964	17.366343	0.0009599147	0.0003073789	reflec_1	FUB_L1N_NOL1N_20080728	0	17.35	4.995
16	101	235	58.70082	17.369404	0.0011669964	0.00032057194	reflec_1	FUB_L1N_NOL1N_20080728	0	12.08	5.384
17	102	236	58.697678	17.372467	0.0012568039	0.00018182027	reflec_1	FUB_L1N_NOL1N_20080728	0	8.35	5.773
18	103	237	58.69454	17.375528	0.0011876369	0.0002395547	reflec_1	FUB_L1N_NOL1N_20080728	0	8.45	6.162
19	104	238	58.691395	17.37859	0.0011348877	0.00016968227	reflec_1	FUB_L1N_NOL1N_20080728	0	7.21	6.552
20	105	239	58.688255	17.381653	0.0010068902	0.00019074275	reflec_1	FUB_L1N_NOL1N_20080728	0	11.27	6.941
21	105	240	58.685703	17.380375	0.0010617613	0.00020693251	reflec_1	FUB_L1N_NOL1N_20080728	0	13.67	7.180
22	106	241	58.682564	17.383434	0.0011767994	0.0002560333	reflec_1	FUB_L1N_NOL1N_20080728	0	13.56	7.569
23	107	242	58.679424	17.386492	0.0012169187	0.00020291173	reflec_1	FUB_L1N_NOL1N_20080728	0	12.26	7.958
24	108	243	58.67628	17.389553	0.0012809039	0.00016652801	reflec_1	FUB_L1N_NOL1N_20080728	0	11.44	8.348
25	109	244	58.673138	17.392609	0.0011868054	0.00027335112	reflec_1	FUB_L1N_NOL1N_20080728	0	8.66	8.738
26	110	245	58.670002	17.395666	0.0011194624	0.00025682573	reflec_1	FUB_L1N_NOL1N_20080728	0	7.59	9.127
27	111	246	58.66686	17.398724	0.0009975254	0.00029833746	reflec_1	FUB_L1N_NOL1N_20080728	0	8.05	9.517
28	112	247	58.663715	17.40178	0.0010088573	0.0003275423	reflec_1	FUB_L1N_NOL1N_20080728	0	9.07	9.907
29	113	248	58.660576	17.404833	0.0011315361	0.00026385198	reflec_1	FUB_L1N_NOL1N_20080728	0	9.89	10.297
30	114	249	58.657436	17.40789	0.001244211	0.00017863937	reflec_1	FUB_L1N_NOL1N_20080728	0	9.95	10.687
31	115	250	58.654293	17.410942	0.0012060375	0.0001669973	reflec_1	FUB_L1N_NOL1N_20080728	0	11.30	11.077
